Unnamed: 0,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
GG BSC NURSINGOVT,42254,--,--,38153,--,42012,44775,--,--,45465,--,--,33532,--,--,26196,31030,34624,40407,52454,49718,48270,--,--
GG BSC NURSINGOVT,57489,75215,--,61956,--,--,45889,--,--,43713,--,--,46143,--,--,41576,48633,50279,58487,70151,68087,62547,--,96336
GG BSC NURSINGOVT,--,--,--,84912,--,--,--,--,--,--,--,--,96352,--,--,61206,--,72000,64749,--,--,16453,--,--
GG BSC NURSINGOVT,102819,--,--,95326,--,98345,77427,--,--,--,--,--,97183,--,--,70066,90500,71345,79215,--,07139,00607,--,1109
GG BSC NURSINGOVT,--,--,--,09993,--,--,--,--,--,10592,--,--,05738,--,--,99232,--,0131,110534,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,00151,--,--,99779,--,--,10533,--,--,--,--,--,92366,--,0066,108833,--,--,24546,--,--
GG BSC NURSINGOVT,--,--,00890,--,1000,--,--,--,--,89614,--,--,--,--,98306,83486,--,85430,96711,--,--,22001,--,2222
GG BSC NURSINGOVT,--,90042,--,49740,--,--,--,85491,--,--,--,--,15337,--,--,14464,--,33109,72746,--,84930,07177,--,--
GG BSC NURSINGOVT,--,--,--,07033,--,--,--,11937,--,--,--,--,--,--,--,02610,--,0384,111594,--,--,22426,--,--
GG BSC NURSINGOVT,--,--,--,05434,--,--,--,--,--,--,11425,--,82214,--,--,60950,02467,84864,115988,--,--,--,--,--
GG BSC NURSINGOVT,--,--,99164,86060,--,--,--,--,11698,--,--,--,70855,--,--,67378,--,77436,105334,--,21094,22959,--,--
GG BSC NURSINGOVT,83328,--,--,73372,--,--,60708,--,--,--,--,--,55291,--,--,49721,--,64666,79983,--,89274,91485,--,--
GG BSC NURSINGOVT,--,--,--,69969,--,--,--,--,--,--,--,--,75714,--,--,35894,--,--,--,70194,73732,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,84578,--,--,--,--,--,43051,--,86252,--,--,--,86440,--,--
GG BSC NURSINGOVT,--,--,09293,87271,--,--,--,--,12330,--,--,--,78767,--,--,73075,--,74287,112313,--,17234,14930,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,12719,--,--,--,--,--,59907,--,--,98719,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,68415,--,--,68203,--,--,66594,--,--,69514,--,--,62695,--,63781,78943,--,--,88060,--,--
GG BSC NURSINGOVT,--,--,--,52620,--,--,49932,--,--,55531,--,--,41992,--,--,37890,48383,48288,82553,23771,05185,94575,--,--
GG BSC NURSINGOVT,96261,--,--,00781,--,--,10422,--,--,--,--,--,--,--,103509,87892,--,93529,90223,--,98200,99811,--,--
GG BSC NURSINGOVT,--,--,09462,--,--,--,--,--,--,--,--,--,101209,--,--,87455,--,88672,102976,--,--,27697,--,--
GG BSC NURSINGOVT,--,--,--,11000,--,--,--,--,--,92689,--,--,90914,--,--,75102,--,0197,107837,08515,--,23272,--,--
GG BSC NURSINGOVT,--,--,--,99036,--,11445,--,--,--,--,--,--,99405,--,--,95517,--,0110,103174,--,--,21045,--,--
GG BSC NURSINGOVT,--,--,--,89657,--,--,--,--,--,--,--,--,--,--,--,58737,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,15400,--,--,--,--,--,10644,--,--,89220,--,--,62049,--,0574,107375,--,13520,--,--,--
GG BSC NURSINGOVT,107670,--,--,16111,--,--,10940,--,--,--,--,--,08274,--,--,06405,--,0691,113924,--,--,--,30261,--
GG BSC NURSINGOVT,113957,--,--,18555,--,--,11463,--,--,--,--,--,--,--,--,10725,11281,--,115794,--,--,25223,--,--
GG BSC NURSINGOVT,--,03780,--,19147,--,--,--,--,--,--,--,--,--,--,--,03399,--,--,112048,--,--,25638,--,--
GG BSC NURSINGOVT,--,14085,--,18523,--,11936,--,--,--,--,--,--,--,--,--,06579,--,--,119387,--,21499,27204,--,--
GG BSC NURSINGOVT,74770,--,--,66744,--,--,--,--,--,93679,--,--,57183,--,--,56070,56155,56221,78189,--,86240,77822,--,--
GG BSC NURSINGOVT,--,--,--,90992,--,10922,--,--,--,--,--,103052,--,--,106652,85912,--,96615,104970,--,12904,--,--,2448
GG BSC NURSINGOVT,83507,--,--,66490,--,--,66059,--,--,--,--,--,46932,--,--,46103,--,71157,92275,--,--,75549,--,98321
GG BSC NURSINGOVT,--,--,--,--,0983,--,--,--,--,--,--,--,--,--,--,69307,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,87555,--,--,--,--,--,96793,--,--,--,--,89064,82841,--,84878,84146,--,--,98337,--,--
GG BSC NURSINGOVT,116688,--,--,19223,--,12258,11568,--,--,--,--,--,14129,--,--,12337,--,1511,121675,--,--,--,--,3073
GG BSC NURSINGOVT,69644,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57600,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,117253,--,--,19770,--,12346,11827,--,--,--,--,--,15549,--,--,15021,16783,1827,120547,--,25341,26500,--,--
GG BSC NURSINGOVT,--,--,--,98252,--,99255,--,--,--,10087,--,--,98335,--,--,93687,--,96412,09376,--,--,26154,--,--
GG BSC NURSINGOVT,119013,--,--,24037,--,--,--,--,--,12119,--,--,15024,--,--,11583,--,--,22386,--,--,25610,33622,--
GG BSC NURSINGOVT,--,--,--,00939,--,--,96162,--,--,--,--,--,01438,--,--,92953,--,--,94604,--,--,95169,--,--
GG BSC NURSINGOVT,106860,--,--,11928,--,--,10728,--,--,--,--,--,--,--,--,99075,--,99594,10953,--,--,03044,--,--
GG BSC NURSINGOVT,105286,--,--,07717,--,10931,78863,--,--,--,--,--,00723,--,--,72073,73274,76735,91731,--,--,07124,--,--
GG BSC NURSINGOVT,129423,--,--,18042,--,--,11274,--,--,--,--,--,--,--,--,00525,--,04550,05661,--,--,--,21596,--
GG BSC NURSINGOVT,--,--,--,75484,--,--,80294,--,--,--,--,--,88066,--,--,64823,--,--,74638,--,--,01911,--,--
GG BSC NURSINGOVT,--,--,99806,91220,--,--,--,--,--,--,--,--,--,--,--,83055,--,--,--,02692,--,99592,--,--
GG BSC NURSINGOVT,--,--,07287,12283,--,--,--,--,12695,--,--,--,02232,--,--,99673,--,03350,20815,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,12532,--,--,--,12651,--,--,--,--,125533,19676,--,--,23453,--,--,30991,--,--
GG BSC NURSINGOVT,127531,--,--,20076,--,--,--,--,--,--,--,--,20479,--,--,17163,--,21961,21995,--,--,--,34875,--
GG BSC NURSINGOVT,--,--,--,08680,--,--,--,--,--,11069,--,--,86016,--,--,85230,05474,91066,26811,--,27163,02002,--,--
GG BSC NURSINGOVT,129233,--,--,19680,--,12042,11984,--,--,--,--,--,--,--,--,00957,18390,--,12055,--,22242,29125,--,3406
GG BSC NURSINGOVT,--,--,74259,--,--,--,--,--,--,--,--,--,--,--,--,47644,--,52224,91915,--,--,--,--,0555
GG BSC NURSINGOVT,77157,--,--,82813,--,--,--,--,--,--,--,--,--,--,--,66195,68839,--,--,--,99763,--,--,--
GG BSC NURSINGOVT,96432,--,--,99003,--,11971,95056,--,--,--,--,--,--,--,--,87358,--,90788,91022,--,--,17387,--,--
GG BSC NURSINGOVT,--,--,--,24552,--,12711,--,--,--,--,--,--,21054,--,--,20968,--,--,12420,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,01817,--,--,--,--,--,82481,--,--,81164,--,--,75145,--,81306,10609,--,--,12818,--,--
GG BSC NURSINGOVT,--,--,--,24565,--,12743,12501,--,--,--,--,--,--,--,28389,19161,--,2406,12576,--,--,--,--,--
GG BSC NURSINGOVT,133161,--,--,25685,--,--,12607,--,--,--,--,--,--,--,--,22732,--,2489,12647,--,28483,35140,--,--
GG BSC NURSINGOVT,--,--,--,17164,--,--,--,--,13048,--,--,--,--,--,23880,01549,--,0416,12591,--,--,32292,--,3937
GG BSC NURSINGOVT,--,--,--,11305,--,--,--,--,--,--,--,115955,09455,--,--,01962,--,0352,11752,--,--,14521,--,--
GG BSC NURSINGOVT,--,--,--,26975,--,--,12829,--,--,11753,--,--,--,--,--,12349,--,2113,12675,--,28171,--,--,--
GG BSC NURSINGOVT,--,--,--,08524,--,11405,--,--,13950,--,--,111765,91333,--,--,83171,--,0745,12285,--,29683,--,--,--
GG BSC NURSINGOVT,--,--,--,--,2238,12851,12889,--,--,12179,--,--,--,--,23424,1280,--,1782,114303,29217,30994,20542,--,--
GG BSC NURSINGOVT,--,--,--,27990,--,--,--,--,--,--,--,129525,22711,--,--,2065,--,2211,129098,33042,--,35645,--,--
GG BSC NURSINGOVT,--,--,--,28801,--,--,--,13933,--,--,--,--,--,--,--,2310,--,2914,131749,--,--,--,38865,--
GG BSC NURSINGOVT,119026,--,--,28972,--,12976,12982,--,--,--,--,--,--,--,--,1532,121201,2383,120804,35477,24818,39351,--,--
GG BSC NURSINGOVT,125929,--,--,26923,--,--,--,--,--,--,--,--,20306,--,--,1663,--,--,126770,--,--,--,--,3053
GG BSC NURSINGOVT,129649,--,--,24258,--,--,12614,--,--,--,--,--,25164,--,--,1823,125851,--,120705,--,--,--,--,4034
GG BSC NURSINGOVT,--,--,--,78662,--,--,--,--,--,12784,--,--,--,--,--,69175,--,79247,--,14955,97592,04104,--,--
GG BSC NURSINGOVT,--,--,--,30337,--,--,13346,--,--,--,--,--,27459,--,--,2604,128627,3008,132479,--,--,--,--,--
GG BSC NURSINGOVT,--,--,35474,11783,--,--,--,--,14340,--,--,--,09124,--,--,0574,--,1608,--,--,17022,18885,--,--
GG BSC NURSINGOVT,--,--,--,87519,--,--,--,--,--,--,--,--,--,--,--,66661,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,13663,--,--,--,--,--,79552,--,--,103977,--,--,--,--,--
GG BSC NURSINGOVT,--,--,22251,18548,--,13125,--,--,--,--,14041,--,--,--,--,96131,124275,1144,--,27592,20035,--,--,--
GG BSC NURSINGOVT,--,--,--,31858,--,--,--,--,--,13565,--,--,--,--,--,129382,30456,--,33929,--,35910,--,--,--
GG BSC NURSINGOVT,--,--,--,98251,--,--,--,--,--,--,--,--,96229,--,--,87365,94918,--,18667,--,--,--,--,--
GG BSC NURSINGOVT,136116,--,--,--,--,13590,13413,--,--,--,--,--,--,--,--,124361,30570,30973,35493,--,--,--,--,--
GG BSC NURSINGOVT,99930,--,--,06820,--,--,11217,--,--,--,--,--,--,--,--,70766,--,76040,14182,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,25198,--,--,13559,--,--,--,--,--,28854,--,--,124017,--,27386,35364,--,--,--,--,4162
GG BSC NURSINGOVT,108862,--,--,10711,--,--,97624,--,--,--,--,--,98997,--,--,93620,09684,--,15234,--,--,28357,--,--
GG BSC NURSINGOVT,--,--,--,--,--,12811,--,--,--,13341,--,--,30655,--,--,113415,--,24773,--,--,31222,--,37798,--
GG BSC NURSINGOVT,--,--,--,08671,--,--,--,--,--,11764,--,--,--,--,--,89041,--,--,96932,--,13420,--,--,--
GG BSC NURSINGOVT,136149,--,--,28229,--,13427,13697,--,--,--,--,--,--,--,--,128033,--,29910,--,35932,37110,39633,--,--
GG BSC NURSINGOVT,--,--,--,89764,--,--,--,--,--,--,--,131698,78346,--,--,69741,--,71369,94023,19250,--,94015,--,--
GG BSC NURSINGOVT,--,--,--,31387,--,--,--,--,--,13197,--,--,31338,--,--,127026,--,31201,37327,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,10643,--,--,--,--,--,--,77583,--,--,89427,--,--,--,--,--
GG BSC NURSINGOVT,128251,--,--,31320,--,--,13565,--,--,--,--,--,--,--,--,25388,--,28465,36462,--,--,--,49928,--
GG BSC NURSINGOVT,--,--,93784,99139,--,--,--,--,12293,--,--,--,98174,--,--,90085,--,90676,91158,99080,95340,04869,--,--
GG BSC NURSINGOVT,--,--,--,--,63266,72468,62599,--,--,76526,--,--,--,--,79228,39405,--,54511,68659,--,--,68230,--,--
GG BSC NURSINGOVT,--,--,--,88998,--,96542,--,--,--,98818,--,--,67447,--,--,61476,--,72250,63414,--,--,--,22701,--
GG BSC NURSINGOVT,112322,--,--,03753,--,11150,10984,--,--,11240,--,--,--,--,--,96671,--,97112,15961,--,--,00876,--,--
GG BSC NURSINGOVT,106166,--,--,07389,--,--,91882,--,--,--,--,--,01545,--,--,73506,--,--,93979,--,--,36421,--,--
GG BSC NURSINGOVT,133547,--,--,28814,--,13105,--,--,--,--,--,--,--,--,--,20534,22796,29687,34873,--,--,39660,--,--
GG BSC NURSINGOVT,134833,--,--,32896,3698,--,14066,--,--,--,--,--,--,--,--,28880,--,31829,37404,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,30345,--,--,14040,--,--,--,--,--,--,--,--,23838,--,26486,37081,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,01185,--,--,--,--,--,99942,--,--,93743,--,--,91572,98364,96141,--,--,--,07096,--,--
GG BSC NURSINGOVT,135652,--,--,33441,--,13669,--,--,--,--,--,--,--,--,--,31361,--,34714,37922,--,--,--,--,--
GG BSC NURSINGOVT,111409,--,--,--,--,12492,11180,--,--,--,--,--,--,--,20449,97828,00559,10984,07116,--,--,21462,--,--
GG BSC NURSINGOVT,125462,--,--,12721,--,12464,12869,--,--,11023,--,--,11449,--,--,0993,120468,14988,16392,--,16887,26537,--,--
GG BSC NURSINGOVT,--,--,--,--,--,10497,--,--,--,--,--,117416,--,--,114041,95881,--,--,--,--,07645,--,--,3208
GG BSC NURSINGOVT,--,--,--,36299,--,--,--,--,--,13618,--,--,--,--,--,3512,--,35888,38057,--,38874,--,--,--
GG BSC NURSINGOVT,--,--,--,--,1322,12004,--,--,--,10855,--,--,--,--,--,96952,--,--,29144,--,--,--,--,--
GG BSC NURSINGOVT,136558,--,--,37100,--,--,--,--,--,--,--,--,34445,--,--,3193,--,33728,38026,--,--,32921,--,--
GG BSC NURSINGOVT,--,--,--,24346,--,--,12095,--,--,--,--,--,20800,--,--,1144,--,11579,12726,--,--,--,--,3027
GG BSC NURSINGOVT,137020,--,--,38838,--,--,14336,--,--,--,--,--,--,--,--,3021,--,32071,39123,--,39222,39711,--,--
GG BSC NURSINGOVT,--,--,--,95884,--,--,--,--,--,11398,--,--,--,--,87631,74296,--,86646,76847,--,--,01130,--,--
GG BSC NURSINGOVT,--,--,--,13558,--,--,--,--,--,11203,--,--,--,--,--,0360,--,10713,05858,32099,--,27462,--,--
GG BSC NURSINGOVT,107444,--,--,15350,--,--,--,--,--,--,--,--,08991,--,--,81078,--,--,18707,--,--,25477,--,--
GG BSC NURSINGOVT,137380,--,--,39012,--,--,14104,--,--,--,--,--,36036,--,--,3002,132660,36671,39340,--,--,46894,--,--
GG BSC NURSINGOVT,--,--,--,39228,--,--,--,--,--,13827,--,--,--,--,--,2348,--,27332,37572,39341,40491,--,--,--
GG BSC NURSINGOVT,--,--,--,85339,--,--,--,--,--,--,--,104509,--,--,--,73307,--,--,04847,--,04943,--,--,--
GG BSC NURSINGOVT,--,--,--,09416,--,--,--,--,--,--,--,--,--,--,--,00413,--,--,25806,--,--,--,--,--
GG BSC NURSINGOVT,118966,--,--,20535,--,--,11580,--,--,--,--,--,12799,--,--,12795,--,14413,23574,--,--,23832,--,2666
GG BSC NURSINGOVT,--,--,--,40680,--,--,--,--,--,--,--,--,39358,--,--,37747,38721,38805,--,--,40543,50225,--,--
GG BSC NURSINGOVT,138849,--,--,32170,--,--,13420,--,--,--,--,--,--,--,--,31330,31550,38244,39723,--,--,47258,--,--
GG BSC NURSINGOVT,108610,--,--,--,1438,10376,--,--,--,--,--,--,--,--,113935,83151,99342,89596,18529,--,--,19010,--,--
GG BSC NURSINGOVT,140042,--,--,41133,--,--,--,--,--,14390,--,--,39922,--,--,30776,37626,38179,40921,--,--,--,--,5121
GG BSC NURSINGOVT,--,--,40166,39345,4145,--,--,--,14583,--,--,--,--,--,--,33984,--,38564,41036,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,84376,--,--,--,--,--,--,--,126308,93927,--,--,80346,--,82395,92544,--,--,89830,--,--
GG BSC NURSINGOVT,124954,--,--,88431,--,--,12031,--,--,10579,--,--,74102,--,--,72054,72848,79770,24677,33379,--,17044,--,--
GG BSC NURSINGOVT,--,--,--,00726,--,10854,--,--,--,--,--,--,03576,--,--,85552,--,99987,38570,--,--,45403,--,--
GG BSC NURSINGOVT,--,--,--,28679,--,--,13749,--,--,13166,--,--,08664,--,--,02222,--,06412,35453,--,--,26968,--,--
GG BSC NURSINGOVT,--,--,--,32325,--,--,--,--,--,--,--,--,29757,--,--,22555,--,2491,--,140783,--,52342,--,--
GG BSC NURSINGOVT,--,--,--,09030,--,--,10055,--,--,12085,--,--,--,--,--,92702,--,--,13296,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,21953,--,--,--,--,--,--,--,113119,80016,--,--,56542,--,0306,13003,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,81312,--,--,--,--,--,--,--,89682,95343,--,--,69680,--,76017,12267,--,--,28008,--,--
GG BSC NURSINGOVT,--,--,20167,12841,--,--,--,--,--,13677,--,--,--,--,--,04506,--,--,12303,--,--,18593,--,--
GG BSC NURSINGOVT,101074,--,--,05045,--,--,--,--,--,--,--,--,--,--,--,92118,--,--,10335,--,12735,--,14509,--
GG BSC NURSINGOVT,--,--,--,21965,2445,--,12324,--,--,--,--,--,--,--,--,14400,--,1779,--,127815,36128,--,--,--
GG BSC NURSINGOVT,139221,--,--,40816,--,--,--,--,--,--,--,--,41531,--,--,37435,--,3897,14104,--,--,52755,--,--
GG BSC NURSINGOVT,--,--,--,42846,--,--,--,--,--,13975,--,--,--,--,--,30913,--,4257,14272,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,92116,--,--,--,--,--,--,--,--,--,--,--,61688,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,39284,--,--,13577,--,--,14683,--,--,42662,--,--,30323,--,4088,14249,--,--,45881,--,--
GG BSC NURSINGOVT,--,--,22511,21610,--,--,--,--,--,--,--,--,75675,--,--,63635,--,96903,10393,--,--,26431,--,--
GG BSC NURSINGOVT,142003,--,--,37287,--,14374,14782,--,--,--,--,--,--,--,--,31477,--,139142,--,--,41231,32993,--,--
GG BSC NURSINGOVT,143506,--,--,43804,--,--,--,--,--,--,--,143160,--,--,--,38409,--,141344,41897,--,--,52932,--,--
