course,branch,category,cutoff_rank
BSCNURS,OVT,1G,42254
BSCNURS,OVT,1G,57489
BSCNURS,OVT,1G,102819
BSCNURS,OVT,1G,83328
BSCNURS,OVT,1G,96261
BSCNURS,OVT,1G,107670
BSCNURS,OVT,1G,113957
BSCNURS,OVT,1G,74770
BSCNURS,OVT,1G,83507
BSCNURS,OVT,1G,116688
BSCNURS,OVT,1G,69644
BSCNURS,OVT,1G,117253
BSCNURS,OVT,1G,119013
BSCNURS,OVT,1G,106860
BSCNURS,OVT,1G,105286
BSCNURS,OVT,1G,129423
BSCNURS,OVT,1G,127531
BSCNURS,OVT,1G,129233
BSCNURS,OVT,1G,77157
BSCNURS,OVT,1G,96432
BSCNURS,OVT,1G,133161
BSCNURS,OVT,1G,119026
BSCNURS,OVT,1G,125929
BSCNURS,OVT,1G,129649
BSCNURS,OVT,1G,136116
BSCNURS,OVT,1G,99930
BSCNURS,OVT,1G,108862
BSCNURS,OVT,1G,136149
BSCNURS,OVT,1G,128251
BSCNURS,OVT,1G,112322
BSCNURS,OVT,1G,106166
BSCNURS,OVT,1G,133547
BSCNURS,OVT,1G,134833
BSCNURS,OVT,1G,135652
BSCNURS,OVT,1G,111409
BSCNURS,OVT,1G,125462
BSCNURS,OVT,1G,136558
BSCNURS,OVT,1G,137020
BSCNURS,OVT,1G,107444
BSCNURS,OVT,1G,137380
BSCNURS,OVT,1G,118966
BSCNURS,OVT,1G,138849
BSCNURS,OVT,1G,108610
BSCNURS,OVT,1G,140042
BSCNURS,OVT,1G,124954
BSCNURS,OVT,1G,101074
BSCNURS,OVT,1G,139221
BSCNURS,OVT,1G,142003
BSCNURS,OVT,1G,143506
BSCNURS,OVT,1G,127846
BSCNURS,OVT,1G,126030
BSCNURS,OVT,1G,96641
BSCNURS,OVT,1G,149745
BSCNURS,OVT,1G,133954
BSCNURS,OVT,1G,147605
BSCNURS,OVT,1G,143532
BSCNURS,OVT,1G,149618
BSCNURS,OVT,1G,145541
BSCNURS,OVT,1G,138684
BSCNURS,OVT,1G,36407
BSCNURS,OVT,1G,139905
BSCNURS,OVT,1G,15221
BSCNURS,OVT,1G,15560
BSCNURS,OVT,1G,14750
BSCNURS,OVT,1G,15630
BSCNURS,OVT,1G,11836
BSCNURS,OVT,1G,13274
BSCNURS,OVT,1G,15701
BSCNURS,OVT,1G,153108
BSCNURS,OVT,1G,121330
BSCNURS,OVT,1G,126452
BSCNURS,OVT,1G,80792
BSCNURS,OVT,1G,155419
BSCNURS,OVT,1G,158101
BSCNURS,OVT,1G,92405
BSCNURS,OVT,1G,119654
BSCNURS,OVT,1G,60181
BSCNURS,OVT,1G,60879
BSCNURS,OVT,1G,63521
BSCNURS,OVT,1G,83010
BSCNURS,OVT,1G,128848
BSCNURS,OVT,1G,111776
BSCNURS,OVT,1G,57977
BSCNURS,OVT,1G,129650
BSCNURS,OVT,1G,135413
BSCNURS,OVT,1G,33091
BSCNURS,OVT,1G,113310
BSCNURS,OVT,1G,65754
BSCNURS,OVT,1G,143720
BSCNURS,OVT,1G,131720
BSCNURS,OVT,1G,151071
BSCNURS,OVT,1G,108268
BSCNURS,OVT,1G,159862
BSCNURS,OVT,1G,127629
BSCNURS,OVT,1G,114342
BSCNURS,OVT,1G,83197
BSCNURS,OVT,1G,128157
BSCNURS,OVT,1G,100523
BSCNURS,OVT,1G,150091
BSCNURS,OVT,1G,78385
BSCNURS,OVT,1G,154939
BSCNURS,OVT,1G,161523
BSCNURS,OVT,1G,71697
BSCNURS,OVT,1G,70491
BSCNURS,OVT,1G,82751
BSCNURS,OVT,1G,105912
BSCNURS,OVT,1G,90096
BSCNURS,OVT,1G,115919
BSCNURS,OVT,1G,93866
BSCNURS,OVT,1G,152910
BSCNURS,OVT,1G,124141
BSCNURS,OVT,1G,129579
BSCNURS,OVT,1G,85069
BSCNURS,OVT,1G,89723
BSCNURS,OVT,1G,100372
BSCNURS,OVT,1G,102164
BSCNURS,OVT,1G,102458
BSCNURS,OVT,1G,86808
BSCNURS,OVT,1G,72944
BSCNURS,OVT,1G,73394
BSCNURS,OVT,1G,66179
BSCNURS,OVT,1G,84660
BSCNURS,OVT,1G,52194
BSCNURS,OVT,1G,121946
BSCNURS,OVT,1G,157272
BSCNURS,OVT,1G,18796
BSCNURS,OVT,1G,05595
BSCNURS,OVT,1G,62586
BSCNURS,OVT,1G,129694
BSCNURS,OVT,1G,96345
BSCNURS,OVT,1G,124149
BSCNURS,OVT,1G,109571
BSCNURS,OVT,1G,145610
BSCNURS,OVT,1G,115236
BSCNURS,OVT,1G,123940
BSCNURS,OVT,1G,99651
BSCNURS,OVT,1G,111961
BSCNURS,OVT,1G,93058
BSCNURS,OVT,1G,35181
BSCNURS,OVT,1G,07667
BSCNURS,OVT,1G,27123
BSCNURS,OVT,1G,89302
