Unnamed: 0,1H,1KH,1RH,2AH,2AKH,2ARH,2BH,2BKH,2BRH,3AH,3AKH,3ARH,3BH,3BKH,3BRH,GMH,GMKH,GMRH,SCH,SCKH,SCRH,STH,STKH,STRH
GG BSC NURSINGOVT,--,--,--,40491,--,--,--,--,--,--,--,--,--,--,--,29151,--,--,43496,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,67821,--,--,--,--,--,--,--,--,--,--,--,45565,--,--,64137,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1184,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85259,--,--,109088,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,117161,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,04896,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,112076,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41298,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,120527,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,22053,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,14139,--,--,--,--,--,--,--,--,10673,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,69269,--,--,86019,--,--,--,--,--
GG BSC NURSINGOVT,67166,--,--,77138,--,--,64286,--,--,--,--,--,--,--,--,60011,--,64513,72998,--,--,--,--,--
GG BSC NURSINGOVT,81698,--,--,--,--,10533,--,--,--,13903,--,--,83261,--,--,79579,--,87363,83515,--,98019,96587,--,--
GG BSC NURSINGOVT,--,--,--,07757,--,--,--,--,--,--,--,--,--,--,--,02614,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,97317,--,--,09475,--,--,--,--,--,--,--,--,--,--,--,96421,--,--,110597,--,--,--,--,2531
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,105614,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,19575,--,--,--,--,--,--,--,--,--,--,--,07390,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,16157,--,--,--,--,--,--,--,--,--,--,--,22765,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,133766,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,121722,--,--,10086,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,107719,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,10575,--,--,85123,--,--,--,--,--,--,--,--,76797,--,79195,78244,--,--,--,--,0480
GG BSC NURSINGOVT,--,--,--,17115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,15388,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,117571,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,06997,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,20803,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,94717,--,--,--,--,--,--,--,--,--,--,--,73499,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26192,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70459,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,12285,--,--,--,13712,--,--,--,--,--,80881,--,--,--,--,--,85294,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1560,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,21853,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,84282,--,--,--,--,--,--,--,--,79360,--,--,--,90957,92011,82582,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3134
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12982,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30326,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,02106,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22814,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13220,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21745,--,--,--,--,--
