course,branch,category,cutoff_rank
BSCNURS,OVT,1H,67166
BSCNURS,OVT,1H,81698
BSCNURS,OVT,1H,97317
BSCNURS,OVT,1H,135476
BSCNURS,OVT,1H,83790
BSCNURS,OVT,1H,135979
BSCNURS,OVT,1H,89373
BSCNURS,OVT,1H,151649
BSCNURS,OVT,1H,15614
BSCNURS,OVT,1H,162748
BSCNURS,OVT,1H,168544
BSCNURS,OVT,1H,139107
BSCNURS,OVT,1H,103386
BSCNURS,OVT,1H,169352
BSCNURS,OVT,1H,82668
BSCNURS,OVT,1H,135203
BSCNURS,OVT,1H,109990
BSCNURS,OVT,1H,110734
BSCNURS,OVT,1H,87171
BSCNURS,OVT,1H,113307
BSCNURS,OVT,1H,137451
BSCNURS,OVT,1H,129327
BSCNURS,OVT,1H,108485
BSCNURS,OVT,1H,109302
BSCNURS,OVT,1H,118076
BSCNURS,OVT,1H,181874
BSCNURS,OVT,1H,10076
BSCNURS,OVT,1H,100669
BSCNURS,GOVT,1H,15933
BSCNURS,OVT,1KH,24281
BSCNURS,OVT,1KH,74267
BSCNURS,OVT,1KH,90621
BSCNURS,OVT,1KH,74342
BSCNURS,OVT,1KH,173246
BSCNURS,OVT,1KH,74553
BSCNURS,OVT,2AH,40491
BSCNURS,OVT,2AH,67821
BSCNURS,OVT,2AH,77138
BSCNURS,OVT,2AH,07757
BSCNURS,OVT,2AH,09475
BSCNURS,OVT,2AH,19575
BSCNURS,OVT,2AH,10575
BSCNURS,OVT,2AH,17115
BSCNURS,OVT,2AH,20803
BSCNURS,OVT,2AH,94717
BSCNURS,OVT,2AH,21853
BSCNURS,OVT,2AH,84282
BSCNURS,OVT,2AH,35303
BSCNURS,OVT,2AH,26060
BSCNURS,OVT,2AH,28526
BSCNURS,OVT,2AH,42178
BSCNURS,OVT,2AH,31284
BSCNURS,OVT,2AH,38938
BSCNURS,OVT,2AH,13941
BSCNURS,OVT,2AH,15352
BSCNURS,OVT,2AH,26367
BSCNURS,OVT,2AH,36497
BSCNURS,OVT,2AH,43585
BSCNURS,OVT,2AH,45930
BSCNURS,OVT,2AH,58437
BSCNURS,OVT,2AH,48052
BSCNURS,OVT,2AH,48721
BSCNURS,OVT,2AH,58673
BSCNURS,OVT,2AH,56887
BSCNURS,OVT,2AH,64774
BSCNURS,OVT,2AH,52624
BSCNURS,OVT,2AH,42695
BSCNURS,OVT,2AH,64881
BSCNURS,OVT,2AH,65880
BSCNURS,OVT,2AH,95502
BSCNURS,OVT,2AH,15297
BSCNURS,OVT,2AH,66641
BSCNURS,OVT,2AH,67928
BSCNURS,OVT,2AH,29149
BSCNURS,OVT,2AH,25203
BSCNURS,OVT,2AH,43158
BSCNURS,OVT,2AH,91439
BSCNURS,OVT,2AH,61385
BSCNURS,OVT,2AH,68904
BSCNURS,OVT,2AH,24978
BSCNURS,OVT,2AH,05759
BSCNURS,OVT,2AH,83548
BSCNURS,OVT,2AH,22043
BSCNURS,OVT,2AH,10641
BSCNURS,OVT,2AH,79137
BSCNURS,OVT,2AH,27634
BSCNURS,OVT,2AH,31988
BSCNURS,OVT,2AH,60880
BSCNURS,OVT,2AH,90671
BSCNURS,OVT,2AH,41762
BSCNURS,OVT,2AH,89994
BSCNURS,OVT,2AH,93111
BSCNURS,OVT,2AH,78438
