Unnamed: 0,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI ArtificialIntelligence,9684,--,--,7993,--,8135,10578,--,--,4868,--,--,5660,--,--,4757,6053,6502,25239,35775,36559,23027,--,30896
AR Architecture,265,--,--,457,--,--,203,--,--,242,--,--,230,--,--,198,--,488,499,--,--,--,--,--
CE Civil,69263,--,--,73001,84647,81829,74438,--,07808,65915,--,70221,67681,--,69405,48502,54450,67191,93280,93824,10199,96958,12457,123121
CS Computers,7386,--,8647,6525,7849,7538,8757,--,11860,3932,--,5378,4259,7918,5387,3649,7474,5233,22271,26105,26934,22395,--,23998
EC Electronics,10362,--,17032,11077,16068,12339,16034,--,40511,7689,19963,--,8029,--,12705,6692,12990,11437,41942,49110,44785,33883,--,34812
EE Electrical,29282,51745,34616,27775,29180,36728,30548,--,--,22784,--,--,22227,--,27148,17218,26911,26679,63753,69479,75273,57012,--,66517
IE Info.Science,8105,--,--,7779,--,8256,11768,30724,--,5476,--,6357,5187,--,--,5039,9396,5825,29554,--,35459,28492,--,30720
ME Mechanical,62351,--,62431,71359,71843,74639,75759,--,79777,50421,--,64283,54690,59602,63644,43012,50158,59373,10652,12389,12359,11386,13442,117800
CE Civil,96044,--,--,100810,22670,06577,01369,--,--,93515,--,--,97068,--,0506,87484,90439,91373,12168,13555,14375,12859,--,129762
CS Computers,17352,--,17847,21675,--,22953,28805,--,39782,15587,--,19050,16547,20485,--,14614,20297,17116,39925,--,42928,28860,--,--
EC Electronics,35951,--,--,33200,--,35187,38319,--,--,29037,--,--,27194,--,34592,26819,32441,30697,63547,--,69708,63305,79928,80136
ST Silk Tech.,6207,--,--,141129,--,49049,--,--,--,--,--,--,39860,--,--,11970,13593,13963,18627,--,--,22061,--,--
TX Textiles,5051,--,17025,166614,72706,68313,73665,--,--,56846,--,--,48554,--,--,14170,15532,15788,19893,23138,23150,20100,--,--
CE Civil,56425,--,--,47288,--,52000,73226,--,--,35070,--,--,37691,--,65223,32748,51692,40630,56552,--,80462,68114,11686,94563
EC Electronics,8026,--,11264,5022,--,6916,6731,--,--,2260,--,--,3485,11984,--,1873,5867,6109,24274,--,35225,30355,--,37639
EE Electrical,8704,--,31018,18276,25985,23820,26474,--,--,10182,--,--,9150,--,12800,5093,15907,12760,50740,78200,53189,49894,--,--
IM Ind. Engg.Mgmt.,32227,--,--,51961,51972,62496,45147,--,67492,27680,--,56506,31224,--,--,24885,38972,48328,11878,14209,14397,11757,--,--
ME Mechanical,27614,--,--,38582,--,42973,46818,--,--,23102,81676,38686,21721,--,--,13963,47628,32894,87250,--,12464,11405,--,160699
