course,branch,category,cutoff_rank
ENGG,Intelligence,1G,9684
ENGG,AR Architecture,1G,265
ENGG,CE Civil,1G,69263
ENGG,CS Computers,1G,7386
ENGG,EC Electronics,1G,10362
ENGG,EE Electrical,1G,29282
ENGG,IE Info.Science,1G,8105
ENGG,ME Mechanical,1G,62351
ENGG,CE Civil,1G,96044
ENGG,CS Computers,1G,17352
ENGG,EC Electronics,1G,35951
ENGG,ST Silk Tech.,1G,6207
ENGG,TX Textiles,1G,5051
ENGG,CE Civil,1G,56425
ENGG,EC Electronics,1G,8026
ENGG,EE Electrical,1G,8704
ENGG,Mgmt.,1G,32227
ENGG,ME Mechanical,1G,27614
ENGG,CE Civil,1G,2222
ENGG,CS Computers,1G,13904
ENGG,EC Electronics,1G,25626
ENGG,EE Electrical,1G,47309
ENGG,Engg,1G,53528
ENGG,Telecommn. Engg.,1G,41390
ENGG,Mgmt.,1G,66342
ENGG,ME Mechanical,1G,1240
ENGG,BT Bio Technology,1G,19438
ENGG,"CA CS (AI, MachineLearning)",1G,1387
ENGG,CE Civil,1G,27080
ENGG,CS Computers,1G,636
ENGG,Security,1G,1652
ENGG,Data Sc.,1G,1566
ENGG,EC Electronics,1G,2679
ENGG,EE Electrical,1G,7711
ENGG,Telecommn. Engg.,1G,5309
ENGG,IE Info.Science,1G,1499
ENGG,Mgmt.,1G,16653
ENGG,ME Mechanical,1G,11574
ENGG,Engg.,1G,8775
ENGG,"AD ArtificialIntel, Data Sc",1G,2690
ENGG,Intelligence,1G,5350
ENGG,BT Bio Technology,1G,20626
ENGG,"CA CS (AI, MachineLearning)",1G,4258
ENGG,CE Civil,1G,33943
ENGG,CH Chemical,1G,40528
ENGG,CS Computers,1G,2330
ENGG,EC Electronics,1G,6799
ENGG,Engg,1G,16979
ENGG,Telecommn. Engg.,1G,14611
ENGG,IE Info.Science,1G,4889
ENGG,Mgmt.,1G,31155
ENGG,MD Med.Elect.,1G,74739
ENGG,ME Mechanical,1G,32386
ENGG,AE Aeronaut.Engg,1G,20572
ENGG,Intelligence,1G,7375
ENGG,AU Automobile,1G,98430
ENGG,BT Bio Technology,1G,25508
ENGG,Bus Sys.,1G,11603
ENGG,and Design,1G,14654
ENGG,CE Civil,1G,0340
ENGG,CH Chemical,1G,39337
ENGG,CS Computers,1G,8404
ENGG,Data Sc.,1G,8884
ENGG,EC Electronics,1G,12525
ENGG,EE Electrical,1G,22396
ENGG,Engg,1G,30892
ENGG,Telecommn. Engg.,1G,24117
ENGG,"IC CS-IoT, CyberSecurity",1G,18589
ENGG,IE Info.Science,1G,10369
ENGG,ME Mechanical,1G,38989
ENGG,RI Robotics and AI,1G,19375
ENGG,Intelligence,1G,9089
ENGG,CE Civil,1G,85571
ENGG,CS Computers,1G,9822
ENGG,Data Sc.,1G,12799
ENGG,EC Electronics,1G,19393
ENGG,Engg,1G,26214
ENGG,Telecommn. Engg.,1G,29739
ENGG,Design),1G,24727
ENGG,"IC CS-IoT, CyberSecurity",1G,14573
ENGG,IE Info.Science,1G,11499
ENGG,ME Mechanical,1G,57321
ENGG,RI Robotics and AI,1G,22294
ENGG,AM B Tech in AM,1G,6987
ENGG,AR Architecture,1G,196
ENGG,BB B Tech in EC,1G,10089
ENGG,BJ B Tech in EE,1G,16634
ENGG,BO B Tech in BT,1G,30879
ENGG,BW B Tech in CS,1G,4030
ENGG,AE Aeronaut.Engg,1G,79585
ENGG,and Design,1G,33790
ENGG,CS Computers,1G,26278
ENGG,Data Sc.,1G,28114
ENGG,EC Electronics,1G,37560
ENGG,Design),1G,75445
ENGG,IE Info.Science,1G,31595
ENGG,ME Mechanical,1G,2934
ENGG,Engg.,1G,49573
ENGG,Intelligence,1G,20728
ENGG,BT Bio Technology,1G,49106
ENGG,CE Civil,1G,91700
ENGG,CS Computers,1G,19024
ENGG,Data Sc.,1G,22720
ENGG,EC Electronics,1G,26753
ENGG,EE Electrical,1G,45118
ENGG,"IC CS-IoT, CyberSecurity",1G,22753
ENGG,IE Info.Science,1G,23370
ENGG,ME Mechanical,1G,97286
ENGG,RI Robotics and AI,1G,35935
ENGG,TC Telecommn.,1G,60832
ENGG,Intelligence,1G,98321
ENGG,CS Computers,1G,98642
ENGG,EC Electronics,1G,1404
ENGG,IE Info.Science,1G,1088
ENGG,"AD ArtificialIntel, Data Sc",1G,49519
ENGG,AE Aeronaut.Engg,1G,70137
ENGG,"CA CS (AI, MachineLearning)",1G,50227
ENGG,and Design,1G,61635
ENGG,CE Civil,1G,4274
ENGG,CS Computers,1G,44265
ENGG,EC Electronics,1G,78934
ENGG,IE Info.Science,1G,57597
ENGG,"CA CS (AI, MachineLearning)",1G,1580
ENGG,CS Computers,1G,0697
ENGG,EC Electronics,1G,3173
ENGG,"AD ArtificialIntel, Data Sc",1G,18124
ENGG,BT Bio Technology,1G,66411
