Unnamed: 0,1H,1KH,1RH,2AH,2AKH,2ARH,2BH,2BKH,2BRH,3AH,3AKH,3ARH,3BH,3BKH,3BRH,GMH,GMKH,GMRH,SCH,SCKH,SCRH,STH,STKH,STRH
AI ArtificialIntelligence,--,--,--,8229,--,--,--,--,--,--,--,--,--,--,--,6057,--,9789,26938,--,--,--,--,--
AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,359,--,--,--,--,--,--,--,--
CE Civil,99269,--,--,74114,--,--,80349,--,--,--,--,--,--,--,--,52302,58696,68080,97330,--,--,--,--,--
CS Computers,--,--,--,7279,--,--,11081,--,--,6003,--,--,--,--,7437,4311,--,--,22940,42078,--,--,--,--
EC Electronics,--,--,--,14565,--,--,--,--,--,--,--,--,8524,--,--,8166,--,12040,50373,--,--,48134,--,--
EE Electrical,31248,--,--,28777,--,40201,--,--,--,27198,--,--,--,--,--,23739,--,--,64646,--,--,57184,--,--
IE Info.Science,--,--,--,11546,--,--,--,--,--,--,--,--,--,--,--,5874,--,--,36173,--,--,--,--,36505
ME Mechanical,--,--,--,75384,85010,--,--,--,--,--,--,--,59160,--,--,50101,--,66589,11003,--,13506,11389,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,05861,--,--,91027,--,--,--,17297,--,13762,--,--
CS Computers,--,--,--,22179,--,--,--,--,--,--,--,--,--,--,--,16632,--,--,40337,--,49719,--,--,--
EC Electronics,--,--,--,36035,--,--,--,--,--,--,--,--,--,--,--,30315,--,33913,72217,--,--,--,--,--
ST Silk Tech.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12645,--,--,--,--,--,--,--,--
TX Textiles,--,--,--,--,--,--,30737,--,--,--,--,--,--,--,--,15119,--,--,20821,--,--,--,--,--
CE Civil,--,--,--,--,--,--,38055,--,--,--,--,--,53382,--,--,33427,--,--,--,--,11615,--,--,--
EC Electronics,--,--,--,--,13370,--,--,--,--,--,--,--,--,--,--,2771,--,--,24801,--,--,34507,--,--
EE Electrical,--,--,--,18804,--,--,--,--,--,--,--,--,--,--,--,8993,--,22528,62536,--,--,--,--,--
IM Ind. Engg.Mgmt.,99176,--,--,--,--,--,--,--,--,11374,--,16445,--,--,--,28305,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,45696,--,--,--,--,--,--,--,--,--,--,--,23762,--,--,94853,--,--,--,--,--
CE Civil,--,--,--,113375,--,28703,--,--,--,--,--,--,--,--,--,10429,--,--,13246,--,--,13950,--,--
CS Computers,--,--,--,12396,--,--,--,--,--,11929,--,--,--,--,13623,10083,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,29311,--,--,--,--,--,--,--,--,22013,--,--,21137,25673,--,68845,--,89051,65383,--,--
EE Electrical,--,--,--,42237,--,--,--,--,--,--,--,--,--,--,--,34729,--,--,87549,--,--,--,--,98708
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52363,--,62206,15904,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,--,--,--,69703,--,--,--,--,--,--,--,--,42847,--,49624,14415,--,--,--,--,--
IM Ind. Engg.Mgmt.,5288,--,--,--,--,--,--,--,--,--,--,--,--,--,--,79906,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,132568,--,--,--,--,--,--,--,--,94068,--,--,92262,--,11923,17874,24786,--,17858,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BT Bio Technology,--,--,--,--,--,41069,82060,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",--,--,--,2067,--,--,--,--,--,--,--,--,--,--,3379,1096,--,--,10586,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,23586,--,--,16279,--,--,--,--,--,--,--,--
CH Chemical,--,--,--,--,--,--,--,--,--,18619,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,1063,--,--,--,--,--,--,--,--,923,--,--,554,2425,913,4398,--,--,11793,--,--
CY CS- CyberSecurity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1622,--,--,--,--,--,12910,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1516,--,--,12522,--,--,--,--,--
EC Electronics,--,--,--,5919,--,--,--,--,--,--,--,--,--,--,--,1978,--,4923,16282,32078,--,27295,--,--
EE Electrical,12962,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6649,--,--,--,--,--,--,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6450,--,--,66717,--,--,--,--,--
IE Info.Science,--,--,--,2492,--,--,--,--,--,--,--,--,--,--,--,930,--,--,12319,--,17001,--,--,--
IM Ind. Engg.Mgmt.,--,--,--,36883,--,--,--,--,--,--,--,--,--,--,--,19444,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,16661,--,--,--,--,--,--,--,--,--,--,--,8692,--,17616,64182,--,--,--,--,--
SE Aero SpaceEngg.,--,--,--,--,--,--,--,--,--,24927,--,--,--,--,--,--,--,--,--,--,--,--,--,82868
"AD ArtificialIntel, Data Sc",--,--,--,--,--,--,--,--,--,--,--,--,4430,--,--,3716,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,7551,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8216,--,--,--,--,--,--,--
AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BT Bio Technology,--,--,--,33901,--,--,--,--,--,--,--,--,--,--,--,14575,--,--,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",--,--,--,7390,--,--,--,--,--,--,--,--,--,--,--,2394,--,--,22448,--,35256,--,--,--
CE Civil,--,--,--,--,--,--,55498,--,--,--,--,--,--,--,--,36791,--,--,--,--,--,--,--,--
CH Chemical,87743,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67215,--,--,--,--,--,--
CS Computers,--,--,--,3596,--,--,--,--,--,--,--,--,--,--,--,1939,--,3724,14290,21242,--,19471,--,--
CY CS- CyberSecurity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4161,--,--,--,--,--,30912,--,--
EC Electronics,--,--,--,11477,--,--,--,--,--,--,--,--,--,--,--,4581,--,11397,27319,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11916,--,--,--,--,--,66920,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12369,--,--,89587,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,--,--,--,--,--,--,--,--,--,7607,--,--,7605,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,5821,--,7733,--,--,--,--,--,--,--,--,--,3477,--,--,20001,--,--,--,--,--
IM Ind. Engg.Mgmt.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,95393,33289,--,--,--,--,--,--,--,--
MD Med.Elect.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44544,--,--,10318,--,--,--,--,--
ME Mechanical,--,--,--,56079,--,--,--,--,--,--,--,--,--,--,--,24726,--,--,10251,--,--,--,--,161712
SE Aero SpaceEngg.,--,--,--,--,--,--,--,--,--,35542,--,--,--,--,--,8345,--,--,--,--,--,--,--,--
