course,branch,category,cutoff_rank
ENGG,CE Civil,1H,99269
ENGG,EE Electrical,1H,31248
ENGG,Mgmt.,1H,99176
ENGG,Mgmt.,1H,5288
ENGG,EE Electrical,1H,12962
ENGG,Intelligence,1H,7551
ENGG,CH Chemical,1H,87743
ENGG,Engg,1H,51797
ENGG,MD Med.Elect.,1H,1520
ENGG,Design),1H,37319
ENGG,BB B Tech in EC,1H,10300
ENGG,BW B Tech in CS,1H,4255
ENGG,ME Mechanical,1H,6680
ENGG,BT Bio Technology,1H,0998
ENGG,Telecommn. Engg.,1H,3496
ENGG,ME Mechanical,1H,9625
ENGG,ME Mechanical,1H,91539
ENGG,CE Civil,1H,4190
ENGG,EE Electrical,1H,4478
ENGG,EC Electronics,1H,60308
ENGG,RI Robotics and AI,1H,6350
ENGG,EC Electronics,1H,48899
ENGG,EC Electronics,1H,7506
ENGG,EC Electronics,1H,4790
ENGG,CH Chemical,1H,9723
ENGG,ME Mechanical,1H,5126
ENGG,BM Bio Medical,1H,8293
ENGG,"CA CS (AI, MachineLearning)",1H,29756
ENGG,CE Civil,1H,9257
ENGG,EC Electronics,1H,94270
ENGG,EE Electrical,1H,1250
ENGG,IP Ind.Prodn.,1H,1629
ENGG,ME Mechanical,1H,9662
ENGG,CS Computers,1H,4972
ENGG,CS Computers,1H,86236
ENGG,Data Sc.,1H,96764
ENGG,EC Electronics,1H,4946
ENGG,"IC CS-IoT, CyberSecurity",1H,4821
ENGG,ME Mechanical,1H,3216
ENGG,"CA CS (AI, MachineLearning)",1H,5747
ENGG,CE Civil,1H,3577
ENGG,CS Computers,1H,93217
ENGG,Security,1H,3794
ENGG,EC Electronics,1H,2193
ENGG,"CA CS (AI, MachineLearning)",1H,98484
ENGG,CS Computers,1H,80630
ENGG,EC Electronics,1H,2473
ENGG,EE Electrical,1H,7429
ENGG,IE Info.Science,1H,2343
ENGG,EC Electronics,1H,1888
ENGG,"CA CS (AI, MachineLearning)",1H,85891
ENGG,BT Bio Technology,1H,48079
ENGG,CS Computers,1H,5556
ENGG,ME Mechanical,1H,81101
ENGG,BT Bio Technology,1H,5722
ENGG,EC Electronics,1H,25700
ENGG,Bus Sys.,1H,15167
ENGG,Bus Sys.,1H,84361
ENGG,Intelligence,1H,76613
ENGG,and Design,1H,90230
ENGG,CE Civil,1H,9012
ENGG,CR Ceramics,1H,2702
ENGG,CS Computers,1H,56621
ENGG,EC Electronics,1H,0377
ENGG,Engg,1H,4284
ENGG,Intelligence,1H,22018
ENGG,RI Robotics and AI,1H,96256
ENGG,CE Civil,1H,6651
ENGG,Data Sc.,1H,83296
ENGG,EE Electrical,1H,9481
ENGG,Intelligence,1H,53659
ENGG,CE Civil,1H,3697
ENGG,CS Computers,1H,26044
ENGG,IE Info.Science,1H,37415
ENGG,Intelligence,1H,96858
ENGG,Intel.),1H,63371
ENGG,CS Computers,1H,62097
ENGG,Data Sc.,1H,97916
