course,branch,category,cutoff_rank
PHARMA,BP B.Pharma,1G,19348
PHARMA,BP B.Pharma,1G,31565
PHARMA,PD Pharma-D,1G,46154
PHARMA,BP B.Pharma,1G,49775
PHARMA,BP B.Pharma,1G,77758
PHARMA,BP B.Pharma,1G,74081
PHARMA,BP B.Pharma,1G,99662
PHARMA,PD Pharma-D,1G,67578
PHARMA,BP B.Pharma,1G,75272
PHARMA,PD Pharma-D,1G,63060
PHARMA,PD Pharma-D,1G,60756
PHARMA,BP B.Pharma,1G,07583
PHARMA,BP B.Pharma,1G,15846
PHARMA,BP B.Pharma,1G,73934
PHARMA,BP B.Pharma,1G,66891
PHARMA,PD Pharma-D,1G,79107
PHARMA,BP B.Pharma,1G,07060
PHARMA,BP B.Pharma,1G,81591
PHARMA,BP B.Pharma,1G,09313
PHARMA,PD Pharma-D,1G,57209
PHARMA,BP B.Pharma,1G,69920
PHARMA,BP B.Pharma,1G,71013
PHARMA,BP B.Pharma,1G,68789
PHARMA,BP B.Pharma,1G,20445
PHARMA,PD Pharma-D,1G,56429
PHARMA,BP B.Pharma,1G,94865
PHARMA,PD Pharma-D,1G,41079
PHARMA,BP B.Pharma,1G,75243
PHARMA,BP B.Pharma,1G,45522
PHARMA,PD Pharma-D,1G,48470
PHARMA,BP B.Pharma,1G,74440
PHARMA,BP B.Pharma,1G,89318
PHARMA,BP B.Pharma,1G,95662
PHARMA,BP B.Pharma,1G,85087
PHARMA,PD Pharma-D,1G,39026
PHARMA,BP B.Pharma,1G,93735
PHARMA,BP B.Pharma,1G,82843
PHARMA,PD Pharma-D,1G,62610
PHARMA,BP B.Pharma,1G,71173
PHARMA,BP B.Pharma,1G,83921
PHARMA,BP B.Pharma,1G,06180
PHARMA,BP B.Pharma,1G,73233
PHARMA,BP B.Pharma,1G,79380
PHARMA,BP B.Pharma,1G,75258
PHARMA,PD Pharma-D,1G,48586
PHARMA,BP B.Pharma,1G,07661
PHARMA,BP B.Pharma,1G,00670
PHARMA,BP B.Pharma,1G,88089
PHARMA,BP B.Pharma,1G,03708
PHARMA,BP B.Pharma,1G,121417
PHARMA,PD Pharma-D,1G,65206
PHARMA,BP B.Pharma,1G,119924
PHARMA,BP B.Pharma,1G,124496
PHARMA,BP B.Pharma,1G,77990
PHARMA,BP B.Pharma,1G,128806
PHARMA,BP B.Pharma,1G,120516
PHARMA,BP B.Pharma,1G,51107
PHARMA,BP B.Pharma,1G,138071
PHARMA,BP B.Pharma,1G,127390
PHARMA,BP B.Pharma,1G,127732
PHARMA,BP B.Pharma,1G,129520
PHARMA,BP B.Pharma,1G,130505
PHARMA,BP B.Pharma,1G,138552
PHARMA,BP B.Pharma,1G,137038
PHARMA,BP B.Pharma,1G,99487
PHARMA,BP B.Pharma,1G,152571
PHARMA,BP B.Pharma,1G,140612
PHARMA,BP B.Pharma,1G,102227
PHARMA,BP B.Pharma,1G,128315
PHARMA,BP B.Pharma,1G,112818
PHARMA,BP B.Pharma,1G,97261
PHARMA,BP B.Pharma,1G,123034
PHARMA,BP B.Pharma,1G,143809
PHARMA,BP B.Pharma,1G,81498
PHARMA,BP B.Pharma,1G,111348
PHARMA,BP B.Pharma,1G,154749
PHARMA,BP B.Pharma,1G,123085
PHARMA,BP B.Pharma,1G,95165
PHARMA,BP B.Pharma,1G,137425
PHARMA,BP B.Pharma,1G,91776
PHARMA,BP B.Pharma,1G,141948
PHARMA,BP B.Pharma,1K,48553
PHARMA,BP B.Pharma,1K,91635
PHARMA,BP B.Pharma,1K,16670
PHARMA,BP B.Pharma,1K,53536
PHARMA,BP B.Pharma,1R,33855
PHARMA,BP B.Pharma,1R,78390
PHARMA,BP B.Pharma,1R,88230
PHARMA,BP B.Pharma,1R,45968
PHARMA,BP B.Pharma,1R,2336
PHARMA,BP B.Pharma,1R,11507
PHARMA,BP B.Pharma,1R,2207
PHARMA,BP B.Pharma,1R,34725
PHARMA,BP B.Pharma,1R,14415
PHARMA,BP B.Pharma,1R,41972
PHARMA,BP B.Pharma,1R,47369
PHARMA,BP B.Pharma,1R,43529
PHARMA,BP B.Pharma,1R,44960
PHARMA,BP B.Pharma,2AG,20658
PHARMA,BP B.Pharma,2AG,41285
PHARMA,PD Pharma-D,2AG,23966
PHARMA,BP B.Pharma,2AG,52353
PHARMA,PD Pharma-D,2AG,24702
PHARMA,BP B.Pharma,2AG,71678
PHARMA,PD Pharma-D,2AG,27834
PHARMA,BP B.Pharma,2AG,59843
PHARMA,PD Pharma-D,2AG,38196
PHARMA,BP B.Pharma,2AG,63660
PHARMA,PD Pharma-D,2AG,17899
PHARMA,BP B.Pharma,2AG,86312
PHARMA,BP B.Pharma,2AG,76317
PHARMA,PD Pharma-D,2AG,55333
PHARMA,BP B.Pharma,2AG,76958
PHARMA,PD Pharma-D,2AG,38459
PHARMA,BP B.Pharma,2AG,72099
PHARMA,PD Pharma-D,2AG,54849
PHARMA,BP B.Pharma,2AG,42811
PHARMA,PD Pharma-D,2AG,22476
PHARMA,BP B.Pharma,2AG,95849
PHARMA,BP B.Pharma,2AG,10663
PHARMA,BP B.Pharma,2AG,60894
PHARMA,PD Pharma-D,2AG,31580
PHARMA,BP B.Pharma,2AG,66245
PHARMA,PD Pharma-D,2AG,35425
PHARMA,BP B.Pharma,2AG,93032
PHARMA,BP B.Pharma,2AG,74680
PHARMA,PD Pharma-D,2AG,44544
PHARMA,BP B.Pharma,2AG,87935
PHARMA,PD Pharma-D,2AG,41578
PHARMA,BP B.Pharma,2AG,76731
PHARMA,BP B.Pharma,2AG,85751
PHARMA,BP B.Pharma,2AG,11129
PHARMA,PD Pharma-D,2AG,48179
PHARMA,BP B.Pharma,2AG,74255
PHARMA,PD Pharma-D,2AG,22561
PHARMA,BP B.Pharma,2AG,80098
PHARMA,BP B.Pharma,2AG,53118
PHARMA,PD Pharma-D,2AG,38829
PHARMA,BP B.Pharma,2AG,11753
PHARMA,BP B.Pharma,2AG,25092
PHARMA,PD Pharma-D,2AG,14804
PHARMA,BP B.Pharma,2AG,10949
PHARMA,PD Pharma-D,2AG,45713
PHARMA,BP B.Pharma,2AG,72875
PHARMA,BP B.Pharma,2AG,58517
PHARMA,BP B.Pharma,2AG,82556
PHARMA,PD Pharma-D,2AG,48180
PHARMA,BP B.Pharma,2AG,62291
PHARMA,BP B.Pharma,2AG,41351
PHARMA,PD Pharma-D,2AG,19121
PHARMA,BP B.Pharma,2AG,11967
PHARMA,BP B.Pharma,2AG,91799
PHARMA,PD Pharma-D,2AG,45816
PHARMA,BP B.Pharma,2AG,12035
PHARMA,BP B.Pharma,2AG,89971
PHARMA,BP B.Pharma,2AG,12954
PHARMA,BP B.Pharma,2AG,74633
PHARMA,PD Pharma-D,2AG,42768
PHARMA,BP B.Pharma,2AG,69830
PHARMA,BP B.Pharma,2AG,73380
PHARMA,PD Pharma-D,2AG,42717
PHARMA,BP B.Pharma,2AG,98235
PHARMA,PD Pharma-D,2AG,54579
PHARMA,BP B.Pharma,2AG,73846
PHARMA,PD Pharma-D,2AG,39867
PHARMA,BP B.Pharma,2AG,70485
PHARMA,PD Pharma-D,2AG,32721
PHARMA,BP B.Pharma,2AG,78485
PHARMA,PD Pharma-D,2AG,31604
PHARMA,BP B.Pharma,2AG,11178
PHARMA,BP B.Pharma,2AG,10327
PHARMA,BP B.Pharma,2AG,59011
PHARMA,PD Pharma-D,2AG,49010
PHARMA,BP B.Pharma,2AG,51357
PHARMA,BP B.Pharma,2AG,85141
PHARMA,PD Pharma-D,2AG,24982
PHARMA,BP B.Pharma,2AG,62349
PHARMA,PD Pharma-D,2AG,33736
PHARMA,BP B.Pharma,2AG,49500
PHARMA,PD Pharma-D,2AG,28420
PHARMA,BP B.Pharma,2AG,77386
PHARMA,PD Pharma-D,2AG,40678
PHARMA,BP B.Pharma,2AG,75480
PHARMA,BP B.Pharma,2AG,10304
PHARMA,BP B.Pharma,2AG,11841
PHARMA,BP B.Pharma,2AG,98414
PHARMA,BP B.Pharma,2AG,11670
PHARMA,BP B.Pharma,2AG,3047
PHARMA,BP B.Pharma,2AG,1981
PHARMA,BP B.Pharma,2AG,1873
PHARMA,BP B.Pharma,2AG,0011
PHARMA,BP B.Pharma,2AG,1358
PHARMA,BP B.Pharma,2AG,83297
PHARMA,BP B.Pharma,2AG,85946
PHARMA,BP B.Pharma,2AG,93578
PHARMA,BP B.Pharma,2AG,50410
PHARMA,BP B.Pharma,2AG,2324
PHARMA,BP B.Pharma,2AG,1303
PHARMA,BP B.Pharma,2AG,0366
PHARMA,BP B.Pharma,2AG,50839
PHARMA,BP B.Pharma,2AG,96526
PHARMA,BP B.Pharma,2AG,2020
PHARMA,BP B.Pharma,2AG,1138
PHARMA,BP B.Pharma,2AG,4112
PHARMA,BP B.Pharma,2AG,4703
PHARMA,BP B.Pharma,2AG,0098
PHARMA,BP B.Pharma,2AG,4845
PHARMA,BP B.Pharma,2AG,1494
PHARMA,BP B.Pharma,2AG,3707
PHARMA,BP B.Pharma,2AG,1496
PHARMA,BP B.Pharma,2AG,2502
PHARMA,BP B.Pharma,2AG,1083
PHARMA,BP B.Pharma,2AG,17848
PHARMA,BP B.Pharma,2AG,79720
PHARMA,BP B.Pharma,2AG,51254
PHARMA,BP B.Pharma,2AG,45298
PHARMA,BP B.Pharma,2AG,54606
PHARMA,BP B.Pharma,2AG,19971
PHARMA,BP B.Pharma,2AG,10915
PHARMA,BP B.Pharma,2AG,25452
PHARMA,BP B.Pharma,2AG,79394
PHARMA,BP B.Pharma,2AG,02442
PHARMA,BP B.Pharma,2AG,33360
PHARMA,BP B.Pharma,2AG,17122
PHARMA,BP B.Pharma,2AG,55600
PHARMA,BP B.Pharma,2AG,2259
PHARMA,BP B.Pharma,2AG,0840
PHARMA,BP B.Pharma,2AG,90703
PHARMA,BP B.Pharma,2AG,97106
PHARMA,BP B.Pharma,2AG,0031
PHARMA,BP B.Pharma,2AG,2186
PHARMA,BP B.Pharma,2AG,94671
PHARMA,BP B.Pharma,2AG,91858
PHARMA,BP B.Pharma,2AG,4404
PHARMA,BP B.Pharma,2AG,5142
PHARMA,BP B.Pharma,2AG,3595
PHARMA,BP B.Pharma,2AG,0727
PHARMA,BP B.Pharma,2AG,0651
PHARMA,BP B.Pharma,2AG,1355
PHARMA,BP B.Pharma,2AG,1669
PHARMA,BP B.Pharma,2AG,3637
PHARMA,BP B.Pharma,2AG,4130
PHARMA,BP B.Pharma,2AG,3708
PHARMA,BP B.Pharma,2AG,77891
PHARMA,BP B.Pharma,2AG,0340
PHARMA,BP B.Pharma,2AG,5867
PHARMA,BP B.Pharma,2AG,0934
PHARMA,BP B.Pharma,2AK,52381
PHARMA,BP B.Pharma,2AK,56767
PHARMA,PD Pharma-D,2AK,13022
PHARMA,BP B.Pharma,2AK,12116
PHARMA,BP B.Pharma,2AK,55030
PHARMA,PD Pharma-D,2AK,12983
PHARMA,BP B.Pharma,2AK,93324
PHARMA,BP B.Pharma,2AK,73570
