course,branch,category,cutoff_rank
PHARMA,BP B.Pharma,1H,42941
PHARMA,BP B.Pharma,1H,89008
PHARMA,BP B.Pharma,1H,17321
PHARMA,PD Pharma-D,1H,31787
PHARMA,BP B.Pharma,1H,50819
PHARMA,BP B.Pharma,1H,95689
PHARMA,BP B.Pharma,1H,76329
PHARMA,BP B.Pharma,1H,12129
PHARMA,BP B.Pharma,1H,42839
PHARMA,BP B.Pharma,1H,37242
PHARMA,BP B.Pharma,1H,19874
PHARMA,BP B.Pharma,1H,129857
PHARMA,BP B.Pharma,1H,96794
PHARMA,BP B.Pharma,1H,175297
PHARMA,BP B.Pharma,1H,143039
PHARMA,BP B.Pharma,1H,143329
PHARMA,BP B.Pharma,1H,128473
PHARMA,BP B.Pharma,1KH,5850
PHARMA,PD Pharma-D,1KH,97513
PHARMA,BP B.Pharma,1RH,14925
PHARMA,BP B.Pharma,1RH,14602
PHARMA,BP B.Pharma,1RH,99497
PHARMA,PD Pharma-D,2AH,30858
PHARMA,BP B.Pharma,2AH,74777
PHARMA,BP B.Pharma,2AH,10986
PHARMA,BP B.Pharma,2AH,87170
PHARMA,BP B.Pharma,2AH,81661
PHARMA,PD Pharma-D,2AH,48073
PHARMA,BP B.Pharma,2AH,12049
PHARMA,BP B.Pharma,2AH,10730
PHARMA,BP B.Pharma,2AH,14172
PHARMA,BP B.Pharma,2AH,14237
PHARMA,BP B.Pharma,2AH,15526
PHARMA,BP B.Pharma,2AH,10226
PHARMA,PD Pharma-D,2AH,92021
PHARMA,BP B.Pharma,2AH,11776
PHARMA,BP B.Pharma,2AH,13154
PHARMA,BP B.Pharma,2AH,61169
PHARMA,BP B.Pharma,2AH,17346
PHARMA,BP B.Pharma,2AH,14014
PHARMA,PD Pharma-D,2AH,12565
PHARMA,BP B.Pharma,2AH,13309
PHARMA,BP B.Pharma,2AH,13953
PHARMA,BP B.Pharma,2AH,12443
PHARMA,PD Pharma-D,2AH,95102
PHARMA,BP B.Pharma,2AH,15147
PHARMA,BP B.Pharma,2AH,15717
PHARMA,BP B.Pharma,2AH,11889
PHARMA,PD Pharma-D,2AH,55993
PHARMA,BP B.Pharma,2AH,76056
PHARMA,BP B.Pharma,2AH,10781
PHARMA,BP B.Pharma,2AH,14849
PHARMA,BP B.Pharma,2AH,4916
PHARMA,BP B.Pharma,2AH,2143
PHARMA,BP B.Pharma,2AH,7716
PHARMA,BP B.Pharma,2AH,6640
PHARMA,BP B.Pharma,2AH,7159
PHARMA,BP B.Pharma,2AH,7241
PHARMA,BP B.Pharma,2AH,2213
PHARMA,BP B.Pharma,2AH,7731
PHARMA,BP B.Pharma,2AH,6159
PHARMA,BP B.Pharma,2AH,8299
PHARMA,BP B.Pharma,2AH,69532
PHARMA,BP B.Pharma,2AH,70284
PHARMA,BP B.Pharma,2AH,92009
PHARMA,BP B.Pharma,2AH,62756
PHARMA,BP B.Pharma,2AH,96805
PHARMA,BP B.Pharma,2AH,02094
PHARMA,BP B.Pharma,2AH,7322
PHARMA,BP B.Pharma,2AH,7979
PHARMA,BP B.Pharma,2AH,0054
PHARMA,BP B.Pharma,2AH,6905
PHARMA,BP B.Pharma,2AH,4192
PHARMA,BP B.Pharma,2AH,3675
PHARMA,BP B.Pharma,2AH,9168
PHARMA,BP B.Pharma,2AH,4529
PHARMA,BP B.Pharma,2AKH,15249
PHARMA,BP B.Pharma,2AKH,13844
PHARMA,BP B.Pharma,2AKH,97617
PHARMA,BP B.Pharma,2AKH,163924
PHARMA,BP B.Pharma,2ARH,62123
PHARMA,BP B.Pharma,2ARH,16481
PHARMA,BP B.Pharma,2ARH,15964
PHARMA,BP B.Pharma,2ARH,178378
PHARMA,BP B.Pharma,2ARH,145176
PHARMA,PD Pharma-D,2ARH,165056
PHARMA,BP B.Pharma,2ARH,50667
PHARMA,BP B.Pharma,2ARH,70611
PHARMA,BP B.Pharma,2ARH,195436
PHARMA,BP B.Pharma,2ARH,19725
PHARMA,BP B.Pharma,2ARH,148118
PHARMA,BP B.Pharma,2ARH,8909
PHARMA,BP B.Pharma,2BH,40641
PHARMA,BP B.Pharma,2BH,51529
PHARMA,BP B.Pharma,2BH,65807
PHARMA,BP B.Pharma,2BH,88253
PHARMA,BP B.Pharma,2BH,55774
PHARMA,BP B.Pharma,2BH,96478
PHARMA,BP B.Pharma,2BH,96230
PHARMA,PD Pharma-D,2BH,22777
PHARMA,BP B.Pharma,2BH,83573
PHARMA,PD Pharma-D,2BH,48262
