college_code,college_name,branch_code,category,cutoff_rank
E001,University of Visvesvaraya College of Engineering Bangalore,AI,1G,9684
E001,University of Visvesvaraya College of Engineering Bangalore,AI,2AG,7993
E001,University of Visvesvaraya College of Engineering Bangalore,AI,2AR,8135
E001,University of Visvesvaraya College of Engineering Bangalore,AI,2BG,10578
E001,University of Visvesvaraya College of Engineering Bangalore,AI,3AG,4868
E001,University of Visvesvaraya College of Engineering Bangalore,AI,3BG,5660
E001,University of Visvesvaraya College of Engineering Bangalore,AI,GM,4757
E001,University of Visvesvaraya College of Engineering Bangalore,AI,GMK,6053
E001,University of Visvesvaraya College of Engineering Bangalore,AI,GMR,6502
E001,University of Visvesvaraya College of Engineering Bangalore,AI,SCG,25239
E001,University of Visvesvaraya College of Engineering Bangalore,AI,SCK,35775
E001,University of Visvesvaraya College of Engineering Bangalore,AI,SCR,36559
E001,University of Visvesvaraya College of Engineering Bangalore,AI,STG,23027
E001,University of Visvesvaraya College of Engineering Bangalore,AI,STR,30896
E001,University of Visvesvaraya College of Engineering Bangalore,AR,1G,265
E001,University of Visvesvaraya College of Engineering Bangalore,AR,2AG,457
E001,University of Visvesvaraya College of Engineering Bangalore,AR,2BG,203
E001,University of Visvesvaraya College of Engineering Bangalore,AR,3AG,242
E001,University of Visvesvaraya College of Engineering Bangalore,AR,3BG,230
E001,University of Visvesvaraya College of Engineering Bangalore,AR,GM,198
E001,University of Visvesvaraya College of Engineering Bangalore,AR,GMR,488
E001,University of Visvesvaraya College of Engineering Bangalore,AR,SCG,499
E001,University of Visvesvaraya College of Engineering Bangalore,CE,1G,69263
E001,University of Visvesvaraya College of Engineering Bangalore,CE,2AG,73001
E001,University of Visvesvaraya College of Engineering Bangalore,CE,2AK,84647
E001,University of Visvesvaraya College of Engineering Bangalore,CE,2AR,81829
E001,University of Visvesvaraya College of Engineering Bangalore,CE,2BG,74438
E001,University of Visvesvaraya College of Engineering Bangalore,CE,2BR,107808
E001,University of Visvesvaraya College of Engineering Bangalore,CE,3AG,65915
E001,University of Visvesvaraya College of Engineering Bangalore,CE,3AR,70221
E001,University of Visvesvaraya College of Engineering Bangalore,CE,3BG,67681
E001,University of Visvesvaraya College of Engineering Bangalore,CE,3BR,69405
E001,University of Visvesvaraya College of Engineering Bangalore,CE,GM,48502
E001,University of Visvesvaraya College of Engineering Bangalore,CE,GMK,54450
E001,University of Visvesvaraya College of Engineering Bangalore,CE,GMR,67191
E001,University of Visvesvaraya College of Engineering Bangalore,CE,SCG,93280
E001,University of Visvesvaraya College of Engineering Bangalore,CE,SCK,93824
E001,University of Visvesvaraya College of Engineering Bangalore,CE,SCR,101995
E001,University of Visvesvaraya College of Engineering Bangalore,CE,STG,96958
E001,University of Visvesvaraya College of Engineering Bangalore,CE,STK,124574
E001,University of Visvesvaraya College of Engineering Bangalore,CE,STR,123121
E001,University of Visvesvaraya College of Engineering Bangalore,CS,1G,7386
E001,University of Visvesvaraya College of Engineering Bangalore,CS,1R,8647
E001,University of Visvesvaraya College of Engineering Bangalore,CS,2AG,6525
E001,University of Visvesvaraya College of Engineering Bangalore,CS,2AK,7849
E001,University of Visvesvaraya College of Engineering Bangalore,CS,2AR,7538
E001,University of Visvesvaraya College of Engineering Bangalore,CS,2BG,8757
E001,University of Visvesvaraya College of Engineering Bangalore,CS,2BR,11860
E001,University of Visvesvaraya College of Engineering Bangalore,CS,3AG,3932
E001,University of Visvesvaraya College of Engineering Bangalore,CS,3AR,5378
E001,University of Visvesvaraya College of Engineering Bangalore,CS,3BG,4259
E001,University of Visvesvaraya College of Engineering Bangalore,CS,3BK,7918
E001,University of Visvesvaraya College of Engineering Bangalore,CS,3BR,5387
E001,University of Visvesvaraya College of Engineering Bangalore,CS,GM,3649
E001,University of Visvesvaraya College of Engineering Bangalore,CS,GMK,7474
E001,University of Visvesvaraya College of Engineering Bangalore,CS,GMR,5233
E001,University of Visvesvaraya College of Engineering Bangalore,CS,SCG,22271
E001,University of Visvesvaraya College of Engineering Bangalore,CS,SCK,26105
E001,University of Visvesvaraya College of Engineering Bangalore,CS,SCR,26934
E001,University of Visvesvaraya College of Engineering Bangalore,CS,STG,22395
E001,University of Visvesvaraya College of Engineering Bangalore,CS,STR,23998
E001,University of Visvesvaraya College of Engineering Bangalore,EC,1G,10362
E001,University of Visvesvaraya College of Engineering Bangalore,EC,1R,17032
E001,University of Visvesvaraya College of Engineering Bangalore,EC,2AG,11077
E001,University of Visvesvaraya College of Engineering Bangalore,EC,2AK,16068
E001,University of Visvesvaraya College of Engineering Bangalore,EC,2AR,12339
E001,University of Visvesvaraya College of Engineering Bangalore,EC,2BG,16034
E001,University of Visvesvaraya College of Engineering Bangalore,EC,2BR,40511
E001,University of Visvesvaraya College of Engineering Bangalore,EC,3AG,7689
